production_employees_private,year,month,value_in_thousands
CES0500000006,2010,M11,89439
CES0500000006,2010,M12,89547
CES0500000006,2011,M01,89521
CES0500000006,2011,M02,89729
CES0500000006,2011,M03,89954
CES0500000006,2011,M04,90222
CES0500000006,2011,M05,90367
CES0500000006,2011,M06,90536
CES0500000006,2011,M07,90702
CES0500000006,2011,M08,90839
CES0500000006,2011,M09,91069
CES0500000006,2011,M10,91240
CES0500000006,2011,M11,91429
CES0500000006,2011,M12,91643
CES0500000006,2012,M01,91926
CES0500000006,2012,M02,92204
CES0500000006,2012,M03,92374
CES0500000006,2012,M04,92467
CES0500000006,2012,M05,92611
CES0500000006,2012,M06,92663
CES0500000006,2012,M07,92773
CES0500000006,2012,M08,92923
CES0500000006,2012,M09,93081
CES0500000006,2012,M10,93244
CES0500000006,2012,M11,93372
CES0500000006,2012,M12,93560
CES0500000006,2013,M01,93657
CES0500000006,2013,M02,93868
CES0500000006,2013,M03,93997
CES0500000006,2013,M04,94153
CES0500000006,2013,M05,94314
CES0500000006,2013,M06,94471
CES0500000006,2013,M07,94624
CES0500000006,2013,M08,94821
CES0500000006,2013,M09,94979
CES0500000006,2013,M10,95181
CES0500000006,2013,M11,95387
CES0500000006,2013,M12,95459
CES0500000006,2014,M01,95608
CES0500000006,2014,M02,95742
CES0500000006,2014,M03,95994
CES0500000006,2014,M04,96230
CES0500000006,2014,M05,96422
CES0500000006,2014,M06,96635
CES0500000006,2014,M07,96816
CES0500000006,2014,M08,96988
CES0500000006,2014,M09,97159
CES0500000006,2014,M10,97306
CES0500000006,2014,M11,97501
CES0500000006,2014,M12,97729
CES0500000006,2015,M01,97840
CES0500000006,2015,M02,98028
CES0500000006,2015,M03,98135
CES0500000006,2015,M04,98267
CES0500000006,2015,M05,98580
CES0500000006,2015,M06,98704
CES0500000006,2015,M07,98821
CES0500000006,2015,M08,98964
CES0500000006,2015,M09,99107
CES0500000006,2015,M10,99323
CES0500000006,2015,M11,99482
CES0500000006,2015,M12,99714
CES0500000006,2016,M01,99761
CES0500000006,2016,M02,99894
CES0500000006,2016,M03,100067
CES0500000006,2016,M04,100157
CES0500000006,2016,M05,100212
CES0500000006,2016,M06,100422
CES0500000006,2016,M07,100636
CES0500000006,2016,M08,100749
CES0500000006,2016,M09,100961
CES0500000006,2016,M10,101087
CES0500000006,2016,M11,101218
CES0500000006,2016,M12,101393
CES0500000006,2017,M01,101601
CES0500000006,2017,M02,101806
CES0500000006,2017,M03,101919
CES0500000006,2017,M04,102092
CES0500000006,2017,M05,102224
CES0500000006,2017,M06,102381
CES0500000006,2017,M07,102526
CES0500000006,2017,M08,102662
CES0500000006,2017,M09,102705
CES0500000006,2017,M10,102886
CES0500000006,2017,M11,103062
CES0500000006,2017,M12,103120
CES0500000006,2018,M01,103213
CES0500000006,2018,M02,103470
CES0500000006,2018,M03,103594
CES0500000006,2018,M04,103772
CES0500000006,2018,M05,104068
CES0500000006,2018,M06,104238
CES0500000006,2018,M07,104333
CES0500000006,2018,M08,104491
CES0500000006,2018,M09,104555
CES0500000006,2018,M10,104663
CES0500000006,2018,M11,104750
CES0500000006,2018,M12,104866
CES0500000006,2019,M01,105111
CES0500000006,2019,M02,104997
CES0500000006,2019,M03,105093
CES0500000006,2019,M04,105334
CES0500000006,2019,M05,105429
CES0500000006,2019,M06,105549
CES0500000006,2019,M07,105656
CES0500000006,2019,M08,105762
CES0500000006,2019,M09,105893
CES0500000006,2019,M10,105901
CES0500000006,2019,M11,106028
CES0500000006,2019,M12,106085
CES0500000006,2020,M01,106276
CES0500000006,2020,M02,106415
CES0500000006,2020,M03,105014
CES0500000006,2020,M04,87233
CES0500000006,2020,M05,90018
CES0500000006,2020,M06,94199
CES0500000006,2020,M07,95664
CES0500000006,2020,M08,96625
CES0500000006,2020,M09,97602
CES0500000006,2020,M10,98276
CES0500000006,2020,M11,98714
CES0500000006,2020,M12,98449
CES0500000006,2021,M01,98684
CES0500000006,2021,M02,99099
CES0500000006,2021,M03,99608
CES0500000006,2021,M04,99831
CES0500000006,2021,M05,100269
CES0500000006,2021,M06,100817
CES0500000006,2021,M07,101575
CES0500000006,2021,M08,101907
CES0500000006,2021,M09,102427
CES0500000006,2021,M10,103010
CES0500000006,2021,M11,103568
CES0500000006,2021,M12,103986
CES0500000006,2022,M01,104319
CES0500000006,2022,M02,105064
CES0500000006,2022,M03,105365
CES0500000006,2022,M04,105653
CES0500000006,2022,M05,105885
CES0500000006,2022,M06,106194
CES0500000006,2022,M07,106649
CES0500000006,2022,M08,106813
CES0500000006,2022,M09,107078
CES0500000006,2022,M10,107231
CES0500000006,2022,M11,107392
CES0500000006,2022,M12,107475
CES0500000006,2023,M01,107832
CES0500000006,2023,M02,107986
CES0500000006,2023,M03,108166
CES0500000006,2023,M04,108313
CES0500000006,2023,M05,108539
CES0500000006,2023,M06,108581
CES0500000006,2023,M07,108766
CES0500000006,2023,M08,108764
CES0500000006,2023,M09,108961
CES0500000006,2023,M10,108968
CES0500000006,2023,M11,109134
CES0500000006,2023,M12,109338
